epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230628_200510,0.15627233339412072,1291.3916342258453,0.9438571428571428,0.9438569019574212,0.047645894291752484,116.95073819160461,0.986,0.9859964150822611
1,20230628_200510,0.06269976680391327,1313.1308567523956,0.9772142857142857,0.9772141879445513,0.014537223353477506,116.6625497341156,0.996,0.9959996759737539
2,20230628_200510,0.04866097195627585,1314.5279941558838,0.9833214285714286,0.9833213688134248,0.01071320856710372,118.4587173461914,0.9966666666666667,0.996666470729224
3,20230628_200510,0.039015499984440274,1327.519232749939,0.9864642857142857,0.9864642296202577,0.015998373675728848,117.58488249778748,0.9948333333333333,0.994833243632702
4,20230628_200510,0.03472749771540332,1344.9491307735443,0.9877142857142858,0.987714236571232,0.010230415790896131,117.95423531532288,0.996,0.9959999639996759
