epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230627_161351,0.14395491120325668,747.7076196670532,0.9451785714285714,0.9451773714143761,0.07496486671697249,99.80571746826172,0.9727606951871658,0.9727602927714456
1,20230627_161351,0.07640010203594076,728.9706120491028,0.9715,0.9714995915426156,0.09332219601539088,96.96072363853455,0.9712566844919787,0.971256633119036
2,20230627_161351,0.05225156353746674,722.8291475772858,0.9811785714285715,0.9811784139178237,0.06463810572784175,96.84670066833496,0.9779411764705882,0.9779350144878567
3,20230627_161351,0.04186576655826398,721.1195402145386,0.9841785714285715,0.9841784517781131,0.06373028138796874,96.8855369091034,0.9784425133689839,0.9784398105372543
4,20230627_161351,0.03672159982163326,720.7434363365173,0.9877142857142858,0.9877141999017329,0.04677178559468108,96.85011744499207,0.9817847593582888,0.9817847466410725
5,20230627_161351,0.031432164344088444,725.7897517681122,0.9891785714285715,0.989178489590899,0.054520442004858415,97.19861698150635,0.9807820855614974,0.9807820592636766
6,20230627_161351,0.027949725872146832,721.6033272743225,0.9902857142857143,0.9902856569909158,0.061659699465068156,96.3969886302948,0.9799465240641712,0.9799452336862877
7,20230627_161351,0.024149665561159574,724.8102641105652,0.9914285714285714,0.9914285178568081,0.06883957191837879,96.85221433639526,0.9792780748663101,0.979276509966946
8,20230627_161351,0.024795365065968196,722.7573499679565,0.9911785714285715,0.9911785012053903,0.06977507360790045,97.4949836730957,0.9784425133689839,0.9784373051916463
9,20230627_161351,0.02420354611917823,727.5471467971802,0.9915357142857143,0.9915356567519322,0.05248100810144131,97.19841194152832,0.9837901069518716,0.9837872812466002
10,20230627_161351,0.019002699691463412,724.7042677402496,0.9936785714285714,0.9936785211066967,0.04814045619872666,96.57430744171143,0.9846256684491979,0.9846251721027395
11,20230627_161351,0.01925684957669416,724.3292021751404,0.9935714285714285,0.9935713883926061,0.05058646260528516,96.90401601791382,0.9842914438502673,0.9842902575555881
12,20230627_161351,0.017296369443281688,724.5910367965698,0.9943571428571428,0.9943571115045634,0.0442403128919958,97.73366808891296,0.984792780748663,0.9847921993330501
13,20230627_161351,0.01832472115899769,723.7601308822632,0.9938214285714285,0.9938213768648644,0.0513337186084706,96.52051711082458,0.9844585561497327,0.9844583265505795
14,20230627_161351,0.017595172115210778,727.1671423912048,0.99425,0.9942499630281425,0.050434702047731116,97.18526768684387,0.9829545454545454,0.9829543912225929
15,20230627_161351,0.017024995657216227,727.0385127067566,0.9943214285714286,0.9943213762397236,0.04288434613572171,97.5443754196167,0.9857954545454546,0.9857953652910991
16,20230627_161351,0.014200818285034205,733.4384152889252,0.995,0.994999963162994,0.04376440218952982,97.17791223526001,0.9857954545454546,0.9857944226966382
17,20230627_161351,0.013764121472610247,728.3239634037018,0.9951785714285715,0.9951785330474805,0.037630875297766965,97.22196555137634,0.9879679144385026,0.9879676872885573
18,20230627_161351,0.01181949445214455,722.4517042636871,0.9957142857142857,0.9957142604371687,0.05531335221139719,96.86828517913818,0.9856283422459893,0.9856267992894283
19,20230627_161351,0.012931722140207836,723.9732851982117,0.9953214285714286,0.9953214033583281,0.05313833359169246,96.80097103118896,0.9836229946524064,0.9836225263097689
