epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230705_153822,0.07077584845956394,4715.1984350681305,0.9742864537119196,0.9742861195887937,0.028016931265825405,154.4001111984253,0.9895,0.9894996823653917
1,20230705_153822,0.042531120112602135,4786.363186597824,0.984564477965099,0.9845642690821237,0.027285235738847405,151.1261978149414,0.99075,0.990749902295843
2,20230705_153822,0.03505025579216802,4789.1451988220215,0.9870692842354333,0.9870691732273715,0.030587120948533993,153.56182479858398,0.98925,0.9892495101808076
3,20230705_153822,0.03090755106538299,4811.9540803432465,0.9887422360248447,0.9887421312893807,0.027304469298804177,153.38787937164307,0.99,0.9899999974999993
4,20230705_153822,0.02902533838009353,4813.599151849747,0.9895556048506359,0.9895554967928717,0.029409111031214706,151.7669117450714,0.9905,0.9904998076211043
5,20230705_153822,0.026831539831310196,4798.074954748154,0.9903874593315587,0.990387382437246,0.023951266059069894,151.37502360343933,0.992,0.9919997999949999
6,20230705_153822,0.024535347572117568,4808.560898303986,0.9915797840875481,0.9915797180453388,0.023363961865776217,152.0868558883667,0.993,0.9929996062278503
7,20230705_153822,0.022728653219008958,4812.760744333267,0.9919217687074829,0.9919217153717284,0.02724761853585369,152.03088665008545,0.9915,0.9914997874946874
8,20230705_153822,0.02065768582851689,4803.690592288971,0.9924763383614316,0.9924762805139034,0.031250047714274844,151.95241117477417,0.99025,0.9902495557453836
9,20230705_153822,0.021483091535852584,4843.531700849533,0.9923746672582077,0.9923746009673492,0.027022567344509297,152.54247999191284,0.99025,0.9902495557453836
